GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,0,56,0.10501633584499359,0.18219111859798431,0.9554044604301453
G1,0,158,0.08840910345315933,0.14946509897708893,0.9397740960121155
G1,0,261,0.09085133671760559,0.1489766538143158,1.112684726715088
G1,0,362,0.05519463121891022,0.119181327521801,0.975919246673584
G1,0,465,0.04884480684995651,0.12357736378908157,1.0184142589569092
G1,0,567,1.113661527633667,0.25838902592658997,1.1043810844421387
G1,0,670,0.8308501243591309,-0.801054835319519,0.8958137631416321
G1,0,771,-2.495481252670288,-0.9583351016044617,1.6670732498168945
G1,0,873,-0.2779269516468048,0.0659404918551445,0.6686853766441345
G1,0,976,0.024910852313041687,0.17388750612735748,1.044301986694336
G1,0,1077,-0.000976896146312356,0.0957358255982399,0.9930148720741272
G1,0,1180,0.13725391030311584,0.09133978933095932,1.0096222162246704
G1,0,1286,0.08645530790090561,0.045914117246866226,1.0286716222763062
G1,0,1388,0.012211201712489128,0.04884480684995651,1.054559350013733
G1,0,1491,-0.05372928828001022,0.04640256613492966,1.0579785108566284
G1,0,1592,-0.033214468508958817,0.06691738963127136,1.0355099439620972
G1,0,1694,-0.14946509897708893,0.06642893701791763,1.1424800157546997
G1,1,68,0.06300980597734451,0.06007910892367363,1.1600642204284668
G1,1,170,0.07570944726467133,0.09378202259540558,1.0491864681243896
G1,1,273,0.15288424491882324,0.04689101129770279,1.0110875368118286
G1,1,375,1.162506341934204,-0.18072578310966492,1.0604207515716553
G1,1,476,0.3809894919395447,-1.3280903100967407,1.525911808013916
G1,1,580,-1.069212794303894,-0.5250816345214844,1.6314165592193604
G1,1,681,-0.21100957691669464,0.1665607988834381,0.6110485196113586
G1,1,782,0.19342543184757233,0.4029696583747864,0.8591801524162292
G1,1,884,0.11625063419342041,0.2950226366519928,0.986176609992981
G1,1,987,0.0815708264708519,0.3091876208782196,0.8953253030776978
G1,1,1090,0.012211201712489128,0.24715472757816315,0.9627311825752258
G1,1,1190,0.08352462202310562,0.25545835494995117,0.9832459688186646
G1,1,1293,-0.04347187653183937,0.25936591625213623,1.007668375968933
G1,2,68,0.13432320952415466,0.0801054835319519,1.1771599054336548
G1,2,171,0.12895028293132782,0.0752210021018982,1.035021424293518
G1,2,273,0.04786791279911995,0.022468609735369682,0.9646849036216736
G1,2,375,0.25496989488601685,0.06691738963127136,1.18888258934021
G1,2,477,1.1424800157546997,0.13236941397190094,1.3588625192642212
G1,2,578,1.2152588367462158,-1.1937670707702637,1.467786431312561
G1,2,680,-1.295852780342102,-0.020514817908406258,0.520685613155365
G1,2,780,-0.6569626331329346,-0.06935962289571762,1.6343472003936768
G1,2,885,0.0972011610865593,0.4005274176597595,0.7849360704421997
G1,2,985,0.18609870970249176,0.41664621233940125,1.045278787612915
G1,2,1088,0.06300980597734451,0.40248119831085205,0.9490545392036438
